//Index   StatType   OptionIndex1   OptionIndex2   OptionIndex3   Comment
3689      5          92             0              0              //Bloodangel Lancer Helm
3690      5          132            0              0              //Awakening Soul Knight Helm
3691      5          133            0              0              //Awakening Soul Wizard Helm
3692      5          134            0              0              //Awakening Soul Elf Helm (A)
3693      5          135            0              0              //Awakening Soul Summoner Helm
3695      5          137            0              0              //Awakening Soul Lord Helm
3696      5          138            0              0              //Awakening Soul Fighter Helm
3697      5          139            0              0              //Awakening Soul Lancer Helm
3698      5          140            0              0              //Awakening Soul Elf Helm (B)
3702      2          148            149            0              //Rune Legendary Helmet
3703      2          143            0              0              //Kenaz Hood
3706      5          144            0              0              //Bloodangel Runist Helm
3707      5          145            0              0              //Darkangel Runist Helm
3708      2          146            0              0              //Rune Spink Mask
3709      2          147            0              0              //Rune Legendary Helmet
3710      2          148            149            0              //[Bound] Rune Legendary Helmet
3711      5          160            0              0              //Holyangel Runist Helm
3712      5          161            0              0              //Awakening Soul Runist Helm
3713      5          162            0              0              //Blue Eye Runist Helm
3714      3          94             95             0              //[Bound] Dragon Helm
3715      3          96             97             0              //[Bound] Legendary Helm
3716      3          98             99             0              //[Bound] Guardian Helm
3718      3          102            103            0              //[Bound] Adamantine Mask
3719      3          104            105            0              //[Bound] Red Winged Helm
3720      3          106            107            0              //[Bound] Storm Zahard Helm
3721      3          108            109            0              //[Bound] Princie Helmet
3722      5          110            0              0              //Darkangel Knight Helm
3723      5          111            0              0              //Darkangel Wizard Helm
3724      5          112            0              0              //Darkangel Elf Helm (A)
3725      5          113            0              0              //Darkangel Summoner Helm
3727      5          115            0              0              //Darkangel Lord Helm
3728      5          116            0              0              //Darkangel Fighter Helm
3729      5          117            0              0              //Darkangel Lancer Helm
3734      5          118            0              0              //Holyangel Knight Helm
3735      5          119            0              0              //Holyangel Wizard Helm
3736      5          120            0              0              //Holyangel Elf Helm (A)
3737      5          121            0              0              //Holyangel Summoner Helm
3739      5          123            0              0              //Holyangel Lord Helm
3740      5          124            0              0              //Holyangel Fighter Helm
3741      5          125            0              0              //Holyangel Lancer Helm
3742      5          126            0              0              //Bloodangel Elf Helm (B)
3743      5          127            0              0              //Darkangel Elf Helm (B)
3744      5          128            0              0              //Holyangel Elf Helm (B)
3748      5          150            0              0              //Blue Eye Knight Helm
3749      5          151            0              0              //Blue Eye Wizard Helm
3750      5          152            0              0              //Blue Eye Elf Helm (A)
3751      5          153            0              0              //Blue Eye Summoner Helm
3753      5          155            0              0              //Blue Eye Lord Helm
3754      5          156            0              0              //Blue Eye Fighter Helm
3755      5          157            0              0              //Blue Eye Lancer Helmet
3756      5          158            0              0              //Blue Eye Elf Helm (B)
3761      3          164            0              0              //Nightwing Helm
3764      5          169            0              0              //Bloodangel Slayer Helm
3765      5          170            0              0              //Darkangel Slayer Helm
3766      5          171            0              0              //Holyangel Slayer Helm
3767      5          172            0              0              //Soul Slayer Helm
3768      5          173            0              0              //Blue Eye Slayer Helm
3769      5          185            0              0              //Silverheart Slayer Helm
3770      3          165            0              0              //Slayer Helm (B)
3771      3          166            0              0              //Slayer Demonic Helm (B)
3772      3          167            168            0              //[Bound] Slayer Demonic Helm
3773      5          174            0              0              //Silverheart Knight Helm
3774      5          175            0              0              //Silver Heart Wizard Helm
3775      5          176            0              0              //Silverheart Elf Helm (A)
3776      5          177            0              0              //Silverheart Summoner Helm
3778      5          179            0              0              //Silverheart Lord Helm
3779      5          180            0              0              //Silverheart Fighter Helm
3780      5          181            0              0              //Silverheart Lancer Helm
3781      5          182            0              0              //Silverheart Elf Helm (B)
3783      5          184            0              0              //Silverheart Runist Helm
3784      5          188            0              0              //Bloodangel Knight Helm (Convict
3785      5          189            0              0              //Darkangel Knight Helm (Convicti
3786      5          190            0              0              //Holyangel Knight Helm (Convicti
3787      5          191            0              0              //Soul Knight Helm (Conviction)
3788      5          192            0              0              //Blue Eight Knight Helm (Convict
3789      5          193            0              0              //Silverheart Knight Helm (Convic
3793      3          194            195            0              //Frere Helmet
3796      5          196            0              0              //Bloodangel Gun Crusher Helmet
3797      5          197            0              0              //Darkangel Gun Crusher Helmet
3798      5          198            0              0              //Holyangel Gun Crusher Helmet
3799      5          199            0              0              //Soul Gun Crusher Helmet
3802      3          202            0              0              //Scale Gunner Helmet
3803      3          203            0              0              //Frere Helmet
3804      3          204            205            0              //[Bound] Frere Helmet
3805      5          206            0              0              //Manticore Knight Helm
3806      5          207            0              0              //Manticore Wizard Helmet
3807      5          208            0              0              //Manticore Elf Helmet
3808      5          209            0              0              //Manticore Summoner Helmet
3810      5          211            0              0              //Manticore Lord Helmet
3811      5          212            0              0              //Manticore Fighter Helmet
3812      5          213            0              0              //Manticore Lancer Helmet
3813      5          214            0              0              //Manticore Elf Helmet
3815      5          216            0              0              //Manticore Rune Wizard Helm
3816      5          217            0              0              //Manticore Slayer Helmet
3817      5          218            0              0              //Manticore Knight Helm (Convicti
3818      5          219            0              0              //Manticore Gun Crusher Helmet
3822      3          221            0              0              //Magic Flare Helmet
3825      5          226            0              0              //Blood Angel Light Wizard Helmet
3826      5          227            0              0              //Dark Angel Light Wizard Helmet
3827      5          228            0              0              //Holy Angel Light Wizard Helmet
3828      5          229            0              0              //Soul White Wizard Helmet
3829      5          230            0              0              //Blue Eye White Wizard Helmet
3830      5          231            0              0              //Silver Heart White Wizard Helme
3831      5          232            0              0              //Manticore White Wizard Helmet
3833      3          222            0              0              //Glimmer Helmet
3834      3          223            0              0              //Light Ray Helmet
3835      3          224            225            0              //[Bound] Light Ray Helmet
3840      3          234            0              0              //Noble Pixie Helmet
3843      5          239            0              0              //Blood Angel Mage Helmet
3844      5          240            0              0              //Dark Angel Mage Helmet
3845      5          241            0              0              //Holy Angel Mage Helmet
3846      5          242            0              0              //Soul Mage Helmet
3847      5          243            0              0              //Blue Eye Mage Helmet
3848      5          244            0              0              //Silver Heart Mage Helmet
3849      5          245            0              0              //Manticore Mage Helmet
3851      3          235            0              0              //Mage Sphinx Mask
3852      3          236            0              0              //Mage Legendary Helmet
3853      3          237            238            0              //[Bound] Mage Legendary Helmet
3854      5          246            0              0              //Brilliant Knight Helmet
3855      5          247            0              0              //Brilliant Wizard Helmet
3856      5          248            0              0              //Brilliant Elf Helmet
3857      5          249            0              0              //Brilliant Summoner Helmet
3859      5          251            0              0              //Brilliant Lord Helmet
3860      5          252            0              0              //Brilliant Fighter Helmet
3861      5          253            0              0              //Brilliant Lancer Helmet
3862      5          254            0              0              //Brilliant Elf Helmet
3864      5          256            0              0              //Brilliant Rune Wizard Helmet
3865      5          257            0              0              //Brilliant Slayer Helmet
3866      5          258            0              0              //Brilliant Knight Helmet (Belief
3867      5          259            0              0              //Brilliant Gun Crasher Helmet
4096      3          3              0              0              //Bronze Armor
4097      3          0              12             0              //Dragon Armor
4098      3          13             0              0              //Pad Armor
4099      3          19             20             0              //Legendary Armor
4100      3          15             16             0              //Bone Armor
4101      3          1              0              0              //Leather Armor
4102      3          5              6              0              //Scale Armor
4103      3          17             18             0              //Sphinx Armor
4104      3          7              0              0              //Brass Armor
4105      3          9              10             0              //Plate Armor
4106      3          22             0              0              //Vine Armor
4107      3          23             0              0              //Silk Armor
4108      3          25             0              0              //Wind Armor
4109      3          27             0              0              //Spirit Armor
4110      3          29             30             0              //Guardian Armor
4111      3          31             32             0              //Storm Crow Armor
4122      3          33             0              0              //Adamantine Armor
4136      3          0              36             0              //Red Wing Armor
4155      0          37             38             0              //Sacred Fire Armor
4158      3          39             0              0              //Scale Armor
4159      3          40             0              0              //Silk Armor
4160      3          41             0              0              //Sphinx Armor
4161      3          42             0              0              //Violent Wind Armor
4162      3          43             0              0              //Dark Soul Armor
4163      3          44             0              0              //Dragon Armor
4164      3          45             0              0              //Guardian Armor
4165      3          46             0              0              //Legendary Armor
4166      3          47             0              0              //Red Wing Armor
4167      3          48             0              0              //Atlans Armor
4168      3          49             0              0              //Storm Jahad Armor
4188      3          71             0              0              //Gru Hill Armor
4190      3          72             0              0              //Hirat Armor
4191      3          74             0              0              //Sate Armor
4192      3          76             0              0              //Robust Armor
4193      3          77             0              0              //Princie Armor
4194      5          78             0              0              //Bloodangel Knight Armor
4195      5          80             0              0              //Bloodangel Wizard Armor
4196      5          82             0              0              //Bloodangel Elf Armor (A)
4197      5          84             0              0              //Bloodangel Summoner Armor
4198      5          86             0              0              //Bloodangel Magic Armor (A)
4199      5          88             0              0              //Bloodangel Lord Armor
4200      5          90             0              0              //Bloodangel Fighter Armor
4201      5          92             0              0              //Bloodangel Lancer Armor
4202      5          132            0              0              //Awakening Soul Knight Armor
4203      5          133            0              0              //Awakening Soul Wizard Armor
4204      5          134            0              0              //Awakening Soul Elf Armor (A)
4205      5          135            0              0              //Awakening Soul Summoner Armor
4206      5          136            0              0              //Awakening Soul Magic Arm (A)
4207      5          137            0              0              //Awakening Soul Lord Armor
4208      5          138            0              0              //Awakening Soul Fighter Armor
4209      5          139            0              0              //Awakening Soul Lancer Armor
4210      5          140            0              0              //Awakening Soul Elf Armor (B)
4211      5          141            0              0              //Awakening Soul Magic Arm (B)
4214      2          148            149            0              //Rune Legendary Armor
4215      2          142            143            0              //Kanaz Armor
4218      5          144            0              0              //Bloodangel Runist Armor
4219      5          145            0              0              //Darkangel Runist Armor
4220      2          146            0              0              //Rune Spink Armor
4221      2          147            0              0              //Rune Legendary Armor
4222      2          148            149            0              //[Bound] Rune Legendary Armor
4223      5          160            0              0              //Holyangel Runist Armor
4224      5          161            0              0              //Awakening Soul Runist Armor
4225      5          162            0              0              //Blue Eye Runist Armor
4226      3          94             95             0              //[Bound] Dragon Armor
4227      3          96             97             0              //[Bound] Legendary Armor
4228      3          98             99             0              //[Bound] Guardian Armor
4229      3          100            101            0              //[Bound] Atlans Armor
4230      3          102            103            0              //[Bound] Adamantine Armor
4231      3          104            105            0              //[Bound] Red Winged Armor
4232      3          106            107            0              //[Bound] Storm Zahard Armor
4233      3          108            109            0              //[Bound] Princie Armor
4234      5          110            0              0              //Darkangel Knight Armor
4235      5          111            0              0              //Darkangel Wizard Armor
4236      5          112            0              0              //Darkangel Elf Armor (A)
4237      5          113            0              0              //Darkangel Summoner Armor
4238      5          114            0              0              //Darkangel Magic Armor (A)
4239      5          115            0              0              //Darkangel Lord Armor
4240      5          116            0              0              //Darkangel Fighter Armor
4241      5          117            0              0              //Darkangel Lancer Armor
4246      5          118            0              0              //Holyangel Knight Armor
4247      5          119            0              0              //Holyangel Wizard Armor
4248      5          120            0              0              //Holyangel Elf Armor (A)
4249      5          121            0              0              //Holyangel Summoner Armor
4250      5          122            0              0              //Holyangel Magic Armor (A)
4251      5          123            0              0              //Holyangel Lord Armor
4252      5          124            0              0              //Holyangel Fighter Armor
4253      5          125            0              0              //Holyangel Lancer Armor
4254      5          126            0              0              //Bloodangel Elf Armor (B)
4255      5          127            0              0              //Darkangel Elf Armor (B)
4256      5          128            0              0              //Holyangel Elf Armor (B)
4257      5          129            0              0              //Bloodangel Magic Armor (B)
4258      5          130            0              0              //Darkangel Magic Armor (B)
4259      5          131            0              0              //Holyangel Magic Armor (B)
4260      5          150            0              0              //Blue Eye Knight Armor
4261      5          151            0              0              //Blue Eye Wizard Armor
4262      5          152            0              0              //Blue Eye Elf Armor (A)
4263      5          153            0              0              //Blue Eye Summoner Armor
4264      5          154            0              0              //Blue Eye Magic Armor (A)
4265      5          155            0              0              //Blue Eye Lord Armor
4266      5          156            0              0              //Blue Eye Fighter Armor
4267      5          157            0              0              //Blue Eye Lancer Armor
4268      5          158            0              0              //Blue Eye Elf Armor (B)
4269      5          159            0              0              //Blue Eye Magic Armor (B)
4273      3          163            164            0              //Nightwing Armor
4276      5          169            0              0              //Bloodangel Slayer Armor
4277      5          170            0              0              //Darkangel Slayer Armor
4278      5          171            0              0              //Holyangel Slayer Armor
4279      5          172            0              0              //Soul Slayer Armor
4280      5          173            0              0              //Blue Eye Slayer Armor
4281      5          185            0              0              //Silverheart Slayer Armor
4282      3          165            0              0              //Slayer Armor (B)
4283      3          166            0              0              //Slayer Demonic Armor (B)
4284      3          167            168            0              //[Bound] Slayer Demonic Armor
4285      5          174            0              0              //Silverheart Knight Armor
4286      5          175            0              0              //Silverheart Wizard Armor
4287      5          176            0              0              //Silverheart Elf Armor (A)
4288      5          177            0              0              //Silverheart Summoner Armor
4289      5          178            0              0              //Silverheart Magic Armor (A)
4290      5          179            0              0              //Silverheart Lord Armor
4291      5          180            0              0              //Silverheart Fighter Armor
4292      5          181            0              0              //Silverheart Lancer Armor
4293      5          182            0              0              //Silverheart Elf Armor (B)
4294      5          183            0              0              //Silverheart Magic Armor (B)
4295      5          184            0              0              //Silverheart Runist Armor
4296      5          188            0              0              //Bloodangel Knight Armor (Convic
4297      5          189            0              0              //Darkangel Knight Armor (Convict
4298      5          190            0              0              //Holyangel Knight Armor (Convict
4299      5          191            0              0              //Soul Knight Armor (Conviction)
4300      5          192            0              0              //Blue Eight Night Armor (Convict
4301      5          193            0              0              //Silverheart Knight Armor (Convi
4305      3          194            195            0              //Frere Armor
4308      5          196            0              0              //Bloodangel Gun Crasher Armor
4309      5          197            0              0              //Darkangel Gun Crasher Armor
4310      5          198            0              0              //Holyangel Gun Crusher Armor
4311      5          199            0              0              //Soul Gun Crusher Armor
4314      3          202            0              0              //Scale Gunner Armor
4315      3          203            0              0              //Frere Armor
4316      3          204            205            0              //[Bound] Frere Armor
4317      5          206            0              0              //Manticore Knight Armor
4318      5          207            0              0              //Manticore Wizard Armor
4319      5          208            0              0              //Manticore Elf Armor
4320      5          209            0              0              //Manticore Summoner Armor
4321      5          210            0              0              //Manticore Magic Armor
4322      5          211            0              0              //Manticore Lord Armor
4323      5          212            0              0              //Manticore Fighter Armor
4324      5          213            0              0              //Manticore Lancer Armor
4325      5          214            0              0              //Manticore Elf Armor
4326      5          215            0              0              //Manticore Magic Armor
4327      5          216            0              0              //Manticore Rune Wizard Armor
4328      5          217            0              0              //Manticore Slayer Armor
4329      5          218            0              0              //Manticore Knight Armor (Convict
4330      5          219            0              0              //Manticore Gun Crusher Armor
4334      3          220            221            0              //Magic Flare Armor
4337      5          226            0              0              //Blood Angel Light Wizard Armor
4338      5          227            0              0              //Dark Angel Light Wizard Armor
4339      5          228            0              0              //Holy Angel Light Wizard Armor
4340      5          229            0              0              //Soul White Wizard Armor
4341      5          230            0              0              //Blue Eye White Wizard Armor
4342      5          231            0              0              //Silver Heart White Wizard Armor
4343      5          232            0              0              //Manticore White Wizard Armor
4345      3          222            0              0              //Glimmer Armor
4346      3          223            0              0              //Light Ray Armor
4347      3          224            225            0              //[Bound] Light Ray Armor
4352      3          233            234            0              //Noble Pixie Armor
4355      5          239            0              0              //Blood Angel Mage Armor
4356      5          240            0              0              //Dark Angel Mage Armor
4357      5          241            0              0              //Holy Angel Mage Armor
4358      5          242            0              0              //Soul Mage Armor
4359      5          243            0              0              //Blue Eye Mage Armor
4360      5          244            0              0              //Silver Heart Mage Armor
4361      5          245            0              0              //Manticore Mage Armor
4363      3          235            0              0              //Mage Sphinx Armor
4364      3          236            0              0              //Mage Legendary Armor
4365      3          237            238            0              //[Bound] Mage Legendary Armor
4366      5          246            0              0              //Brilliant Knight Armor
4367      5          247            0              0              //Brilliant Wizard Armor
4368      5          248            0              0              //Brilliant Elf Armor
4369      5          249            0              0              //Brilliant Summoner Armor
4370      5          250            0              0              //Brilliant Magic Armor
4371      5          251            0              0              //Brilliant Lord Armor
4372      5          252            0              0              //Brilliant Fighter Armor
4373      5          253            0              0              //Brilliant Lancer Armor
4374      5          254            0              0              //Brilliant Elf Armor
4375      5          255            0              0              //Brilliant Magic Armor
4376      5          256            0              0              //Brilliant Rune Wizard Armor
4377      5          257            0              0              //Brilliant Slayer Armor
4378      5          258            0              0              //Brilliant Knight Armor (Belief)
4379      5          259            0              0              //Brilliant Gun Crasher Armor
4608      3          3              4              0              //Bronze Pants
4609      3          0              12             0              //Dragon Pants
4610      3          13             14             0              //Pad Pants
4611      3          0              20             0              //Legendary Pants
4612      3          15             0              0              //Bone Pants
4613      3          1              2              0              //Leather Pants
4614      3          5              6              0              //Scale Pants
4615      3          17             18             0              //Sphinx Pants
4616      3          7              8              0              //Brass Pants
4617      3          10             0              0              //Plate Pants
4618      3          21             22             0              //Vine Pants
4619      3          23             24             0              //Silk Pants
4620      3          25             26             0              //Wind Pants
4621      3          27             28             0              //Spirit Pants
4622      3          0              30             0              //Guardian Pants
4623      3          31             32             0              //Storm Crow Pants
4634      3          33             34             0              //Adamantine Pants
4648      3          35             0              0              //Red Wing Pants
4667      1          37             38             0              //Sacred Fire Pants
4670      3          39             0              0              //Scale Pants
4671      3          40             0              0              //Silk Pants
4672      3          41             0              0              //Sphinx Pants
4673      3          42             0              0              //Violent Wind Pants
4674      3          43             0              0              //Dark Soul Pants
4675      3          44             0              0              //Dragon Pants
4676      3          45             0              0              //Guardian Pants
4677      3          46             0              0              //Legendary Pants
4678      3          47             0              0              //Red Wing Pants
4679      3          48             0              0              //Atlans Pants
4680      3          49             0              0              //Storm Jahad Pants
4700      3          71             0              0              //Gru Hill Pants
4702      3          72             73             0              //Hirat Pants
4703      3          74             75             0              //Sate Pants
4704      3          76             0              0              //Robust Pants
4705      3          77             0              0              //Princie Pants
4706      5          78             0              0              //Bloodangel Knight Pants
4707      5          80             0              0              //Bloodangel Wizard Pants
4708      5          82             0              0              //Bloodangel Elf Pants (A)
4709      5          84             0              0              //Bloodangel Summoner Pants
4710      5          86             0              0              //Bloodangel Magic Pants (A)
4711      5          88             0              0              //Bloodangel Lord Pants
4712      5          90             0              0              //Bloodangel Fighter Pants
4713      5          92             0              0              //Bloodangel Lancer Pants
4714      5          132            0              0              //Awakening Soul Knight Pants
4715      5          133            0              0              //Awakening Soul Wizard Pants
4716      5          134            0              0              //Awakening Soul Elf Pants (A)
4717      5          135            0              0              //Awakening Soul Summoner Pants
4718      5          136            0              0              //Awakening Soul Magic Pants (A)
4719      5          137            0              0              //Awakening Soul Lord Pants
4720      5          138            0              0              //Awakening Soul Fighter Pants
4721      5          139            0              0              //Awakening Soul Lancer Pants
4722      5          140            0              0              //Awakening Soul Elf Pants (B)
4723      5          141            0              0              //Awakening Soul Magic Pants (B)
4726      2          148            149            0              //Rune Legendary Pants
4727      2          142            143            0              //Kanaz Pants
4730      5          144            0              0              //Bloodangel Runist Pants
4731      5          145            0              0              //Darkangel Runist Pants
4732      2          146            0              0              //Rune Spink Pants
4733      2          147            0              0              //Rune Legendary Pants
4734      2          148            149            0              //[Bound] Rune Legendary Armor
4735      5          160            0              0              //Holyangel Runist Pants
4736      5          161            0              0              //Awakening Soul Runist Pants
4737      5          162            0              0              //Blue Eye Runist Pants
4738      3          94             95             0              //[Bound] Dragon Pants
4739      3          96             97             0              //[Bound] Legendary Pants
4740      3          98             99             0              //[Bound] Guardian Pants
4741      3          100            101            0              //[Bound] Atlans Pants
4742      3          102            103            0              //[Bound] Adamantine Pants
4743      3          104            105            0              //[Bound] Red Winged Pants
4744      3          106            107            0              //[Bound] Storm Zahard Pants
4745      3          108            109            0              //[Bound] Princie Pants
4746      5          110            0              0              //Darkangel Knight Pants
4747      5          111            0              0              //Darkangel Wizard Pants
4748      5          112            0              0              //Darkangel Elf Pants (A)
4749      5          113            0              0              //Darkangel Summoner Pants
4750      5          114            0              0              //Darkangel Magic Pants (A)
4751      5          115            0              0              //Darkangel Lord Pants
4752      5          116            0              0              //Darkangel Fighter Pants
4753      5          117            0              0              //Darkangel Lancer Pants
4758      5          118            0              0              //Holyangel Knight Pants
4759      5          119            0              0              //Holyangel Wizard Pants
4760      5          120            0              0              //Holyangel Elf Pants (A)
4761      5          121            0              0              //Holyangel Summoner Pants
4762      5          122            0              0              //Holyangel Magic Pants (A)
4763      5          123            0              0              //Holyangel Lord Pants
4764      5          124            0              0              //Holyangel Fighter Pants
4765      5          125            0              0              //Holyangel Lancer Pants
4766      5          126            0              0              //Bloodangel Elf Pants (B)
4767      5          127            0              0              //Darkangel Elf Pants (B)
4768      5          128            0              0              //Holyangel Elf Pants (B)
4769      5          129            0              0              //Bloodangel Magic Pants (B)
4770      5          130            0              0              //Darkangel Magic Pants (B)
4771      5          131            0              0              //Holyangel Magic Pants (B)
4772      5          150            0              0              //Blue Eye Knight Pants
4773      5          151            0              0              //Blue Eye Wizard Pants
4774      5          152            0              0              //Blue Eye Elf Pants (A)
4775      5          153            0              0              //Blue Eye Summoner Pants
4776      5          154            0              0              //Blue Eye Magic Pants (A)
4777      5          155            0              0              //Blue Eye Lord Pants
4778      5          156            0              0              //Blue Eye Fighter Pants
4779      5          157            0              0              //Blue Eye Lancer Pants
4780      5          158            0              0              //Blue Eye Elf Pants (B)
4781      5          159            0              0              //Blue Eye Magic Pants (B)
4785      3          163            164            0              //Night Wing Pants
4788      5          169            0              0              //Bloodangel Slayer Pants
4789      5          170            0              0              //Darkangel Slayer Pants
4790      5          171            0              0              //Holyangel Slayer Pants
4791      5          172            0              0              //Soul Slayer Pants
4792      5          173            0              0              //Blue Eye Slayer Pants
4793      5          185            0              0              //Silverheart Slayer Pants
4794      3          165            0              0              //Slayer Pants (B)
4795      3          166            0              0              //Slayer Demonic Pants (B)
4796      3          167            168            0              //[Bound] Slayer Demonic Pants
4797      5          174            0              0              //Silverheart Knight Pants
4798      5          175            0              0              //Silverheart Wizard Pants
4799      5          176            0              0              //Silverheart Elf Pants (A)
4800      5          177            0              0              //Silverheart Summoner Pants
4801      5          178            0              0              //Silverheart Magic Pants (A)
4802      5          179            0              0              //Silverheart Lord Pants
4803      5          180            0              0              //Silverheart Fighter Pants
4804      5          181            0              0              //Silverheart Lancer Pants
4805      5          182            0              0              //Silverheart Elf Pants (B)
4806      5          183            0              0              //Silverheart Magic Pants (B)
4807      5          184            0              0              //Silverheart Runist Pants
4808      5          188            0              0              //Blood Angel Knight Pants (Convi
4809      5          189            0              0              //Darkangel Knight Pants (Convict
4810      5          190            0              0              //Holy Angel Knight Pants (Convic
4811      5          191            0              0              //Soul Knight Pants (Conviction)
4812      5          192            0              0              //Blue Eye Knight Pants (Convicti
4813      5          193            0              0              //Silverheart Knight Pants (Convi
4817      3          194            195            0              //Frere Pants
4820      5          196            0              0              //Bloodangel Gun Crusher Pants
4821      5          197            0              0              //Darkangel Gun Crusher Pants
4822      5          198            0              0              //Holyangel Gun Crusher Pants
4823      5          199            0              0              //Soul Gun Crusher Pants
4826      3          202            0              0              //Scale Gunner Pants
4827      3          203            0              0              //Frere Pants
4828      3          204            205            0              //[Bound] Frere Pants
4829      5          206            0              0              //Manticore Knight Pants
4830      5          207            0              0              //Manticore Wizard Pants
4831      5          208            0              0              //Manticore Elf Pants
4832      5          209            0              0              //Manticore Summoner Pants
4833      5          210            0              0              //Manticore Magic Pants
4834      5          211            0              0              //Manticore Lord Pants
4835      5          212            0              0              //Manticore Fighter Pants
4836      5          213            0              0              //Manticore Lancer Pants
4837      5          214            0              0              //Manticore Elf Pants
4838      5          215            0              0              //Manticore Magic Pants
4839      5          216            0              0              //Manticore Rune Wizard Pants
4840      5          217            0              0              //Manticore Slayer Pants
4841      5          218            0              0              //Manticore Knight Pants (Convict
4842      5          219            0              0              //Manticore Gun Crusher Pants
4846      3          220            221            0              //Magic Flare Pants
4849      5          226            0              0              //Blood Angel Light Wizard Pants
4850      5          227            0              0              //Dark Angel Light Wizard Pants
4851      5          228            0              0              //Holy Angel Light Wizard Pants
4852      5          229            0              0              //Soul White Wizard Pants
4853      5          230            0              0              //Blue Eye White Wizard Pants
4854      5          231            0              0              //Silver Heart White Wizard Pants
4855      5          232            0              0              //Manticore White Wizard Pants
4857      3          222            0              0              //Glimmer Pants
4858      3          223            0              0              //Light Ray Pants
4859      3          224            225            0              //[Bound] Light Ray Pants
4864      3          233            234            0              //Noble Pixie Pants
4867      5          239            0              0              //Blood Angel Mage Pants
4868      5          240            0              0              //Dark Angel Mage Pants
4869      5          241            0              0              //Holy Angel Mage Pants
4870      5          242            0              0              //Soul Mage Pants
4871      5          243            0              0              //Blue Eye Mage Pants
4872      5          244            0              0              //Silver Heart Mage Pants
4873      5          245            0              0              //Manticore Mage Pants
4875      3          235            0              0              //Mage Sphinx Pants
4876      3          236            0              0              //Mage Legendary Pants
4877      3          237            238            0              //[Bound] Mage Legendary Pants
4878      5          246            0              0              //Brilliant Knight Pants
4879      5          247            0              0              //Brilliant Wizard Pants
4880      5          248            0              0              //Brilliant Elf Pants
4881      5          249            0              0              //Brilliant Summoner Pants
4882      5          250            0              0              //Brilliant Magic Pants
4883      5          251            0              0              //Brilliant Lord Pants
4884      5          252            0              0              //Brilliant Fighter Pants
4885      5          253            0              0              //Brilliant Lancer Pants
4886      5          254            0              0              //Brilliant Elf Pants
4887      5          255            0              0              //Brilliant Magic Pants
4888      5          256            0              0              //Brilliant Rune Wizard Pants
4889      5          257            0              0              //Brilliant Slayer Pants
4890      5          258            0              0              //Brilliant Knight Pants (Belief)
4891      5          259            0              0              //Brilliant Gun Crasher Pants
5120      3          4              0              0              //Bronze Gloves
5121      3          11             0              0              //Dragon Gloves
5122      3          13             0              0              //Pad Gloves
5123      3          19             0              0              //Legendary Gloves
5124      3          16             0              0              //Bone Gloves
5125      3          1              0              0              //Leather Gloves
5126      3          6              0              0              //Scale Gloves
5127      3          17             0              0              //Sphinx Gloves
5128      3          7              0              0              //Brass Gloves
5129      3          9              0              0              //Plate Gloves
5130      3          21             0              0              //Vine Gloves
5131      3          23             24             0              //Silk Gloves
5132      3          25             0              0              //Wind Gloves
5133      3          27             0              0              //Spirit Gloves
