//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Attr   Type   Flag   Effect   RelSkill   ReqLevel   ReqStrength   ReqDexterity   ReqVitality   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC      KM      LM
16        "Mana Shield"                        0        70      22      6       0       0       0      *      0      4        0          77         0             0              0             408         0               0              0                1       0       0       0       0       0       0       0       0       0       0       0       0
17        "Energy Ball"                        3        1       0       6       0       0       6      1      0      0        0          2          0             0              0             0           0               0              0                1       0       0       0       0       0       0       0       1       0       0       0       0
18        "Defense"                            0        30      0       0       0       0       0      *      0      0        0          0          0             0              0             0           0               0              0                0       1       0       1       1       0       0       1       0       0       0       0       0
19        "Falling Slash"                      0        9       0       3       0       0       6      0      0      0        0          0          0             0              0             0           0               0              0                0       1       0       1       1       0       1       0       0       0       0       0       0
20        "Lunge"                              0        9       0       2       0       0       6      0      0      0        0          0          0             0              0             0           0               0              0                0       1       0       1       1       0       0       1       0       1       0       0       0
21        "Uppercut"                           0        8       0       2       0       0       6      0      0      0        0          0          0             0              0             0           0               0              0                0       1       0       1       1       0       0       0       0       1       0       0       0
22        "Cyclone"                            0        9       0       2       0       0       6      0      0      0        0          0          0             0              0             0           0               0              0                0       1       0       1       1       0       0       0       0       1       0       0       0
23        "Slash"                              0        10      0       2       0       0       6      0      0      0        0          0          0             0              0             0           0               0              0                0       1       0       1       0       0       0       0       0       0       0       0       0
24        "Triple Shot"                        0        5       0       0       6       0       6      0      0      0        0          0          0             0              0             0           0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
26        "Heal"                               0        20      0       6       0       0       0      *      0      0        0          8          0             0              0             52          0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
27        "Greater Defense"                    0        30      0       6       0       0       0      *      0      2        0          13         0             0              0             72          0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
28        "Greater Damage"                     0        40      0       6       0       0       0      *      0      1        0          18         0             0              0             92          0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
30        "Summon Goblin"                      0        40      0       0       0       0       0      *      0      0        0          0          0             0              0             30          0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
31        "Summon Stone Golem"                 0        70      0       0       0       0       0      *      0      0        0          0          0             0              0             60          0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
32        "Summon Assassin"                    0        110     0       0       0       0       0      *      0      0        0          0          0             0              0             90          0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
33        "Summon Elite Yeti"                  0        160     0       0       0       0       0      *      0      0        0          0          0             0              0             130         0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
34        "Summon Dark Knight"                 0        200     0       0       0       0       0      *      0      0        0          0          0             0              0             170         0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
35        "Summon Bali"                        0        250     0       0       0       0       0      *      0      0        0          0          0             0              0             210         0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
36        "Summon Soldier"                     0        350     0       0       0       0       0      *      0      0        0          0          0             0              0             300         0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
38        "Decay"                              95       110     7       6       4       0       6      1      0      55       0          96         0             0              0             953         0               0              0                2       0       0       0       0       0       0       0       0       0       0       0       2
39        "Ice Storm"                          80       100     5       6       4       0       6      1      0      56       0          93         0             0              0             849         0               0              0                2       0       0       0       0       0       0       0       2       0       0       0       2
40        "Nova"                               0        180     45      0       6       0       6      1      0      0        0          100        0             0              0             1052        0               0              0                2       0       0       0       0       0       0       0       0       0       0       2       0
41        "Twisting Slash"                     0        10      10      0       3       0       6      0      0      0        0          0          0             0              0             0           0               0              0                0       1       0       1       0       0       0       0       0       1       0       0       0
42        "Rageful Blow"                       60       25      20      0       4       0       6      0      0      0        0          170        0             0              0             0           0               0              0                0       2       0       0       0       0       0       0       0       2       0       0       0
43        "Death Stab"                         70       15      12      2       2       0       6      0      0      0        0          160        0             0              0             0           0               0              0                0       2       0       0       0       0       0       0       0       0       0       0       0
44        "Crescent Moon Slash"                90       22      15      4       0       0       0      0      0      0        0          0          0             0              0             0           0               0              0                0       1       0       0       0       0       0       0       0       1       0       0       0
45        "Mana Glaive"                        90       150     10      6       0       0       0      1      0      0        0          0          0             0              0             0           0               0              0                1       0       0       0       0       1       0       0       1       0       0       1       1
46        "Starfall"                           120      20      15      8       0       0       0      0      0      0        0          0          0             0              0             0           0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
48        "Greater Life"                       0        22      24      0       5       0       0      *      0      8        0          120        0             0              0             0           0               0              0                0       1       0       0       0       0       0       0       0       0       0       0       0
49        "Fire Breath"                        30       9       0       3       0       0       6      0      0      0        0          110        0             0              0             0           0               0              0                0       1       0       0       0       0       0       0       0       0       0       0       0
50        "Monster Area Attack"                120      160     0       0       6       0       0      *      6      0        0          60         0             0              0             260         0               0              0                0       0       0       0       0       0       0       0       0       0       0       0       0
51        "Ice Arrow"                          105      10      12      8       0       0       6      0      0      57       0          0          0             646            0             0           0               0              0                0       0       2       0       0       0       0       0       0       0       0       0       0
52        "Penetration"                        70       7       9       6       6       0       6      0      0      0        0          130        0             0              0             0           0               0              0                0       0       1       0       0       0       0       0       0       0       0       0       0
55        "Fire Slash"                         80       17      12      2       6       0       6      0      0      58       0          0          596           0              0             0           0               0              0                0       0       0       1       0       0       0       0       0       0       0       0       0
56        "Power Slash"                        0        15      0       0       5       0       6      0      0      0        0          0          0             0              0             0           0               0              0                0       0       0       1       0       0       0       0       0       0       0       0       0
57        "Spiral Slash"                       75       20      15      5       0       0       0      0      0      0        0          0          0             0              0             0           0               0              0                0       0       0       1       0       0       0       0       0       0       0       0       0
60        "Force"                              10       10      0       4       0       0       6      1      0      0        0          0          0             0              0             15          0               0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
61        "Fire Burst"                         100      25      0       6       3       0       6      1      0      0        0          74         0             0              0             79          0               0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
62        "Earthquake"                         150      0       50      0       5       10000   6      1      0      0        0          0          0             0              0             0           0               0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
63        "Summon Party"                       0        70      30      0       0       30000   0      *      0      0        0          98         0             0              0             153         400             0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
64        "Greater Critical Damage"            0        50      50      6       6       0       0      *      0      5        0          82         0             0              0             102         300             0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
65        "Electric Spark"                     250      0       100     0       6       5000    6      1      0      0        0          92         0             0              0             126         340             0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
66        "Force Wave"                         50       10      0       4       3       0       6      1      0      0        0          0          0             0              0             0           0               0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
67        "Stern"                              0        70      50      0       5       0       0      *      1      61       0          0          0             0              0             0           0               4              32               1       1       1       1       1       1       0       0       1       1       0       1       1
68        "Remove Stern"                       0        25      30      0       5       0       0      *      1      0        0          0          0             0              0             0           0               2              32               1       1       1       1       1       1       0       0       1       1       0       1       1
69        "Greater Mana"                       0        35      30      0       5       0       0      *      1      9        0          0          0             0              0             0           0               4              32               1       1       1       1       1       1       0       0       1       1       0       1       1
70        "Invisibility"                       0        80      60      6       0       0       0      *      1      18       0          0          0             0              0             0           0               5              192              1       1       1       1       1       1       0       0       1       1       0       1       1
71        "Remove Invisibility"                0        40      30      0       5       0       0      *      1      0        0          0          0             0              0             0           0               2              192              1       1       1       1       1       1       0       0       1       1       0       1       1
72        "Remove All Effect"                  0        90      70      0       5       0       0      *      1      0        0          0          0             0              0             0           0               8              128              0       0       0       0       1       0       0       0       0       0       0       0       0
73        "Mana Rays"                          85       130     7       6       0       0       0      1      0      0        0          0          0             0              0             0           0               0              0                0       0       0       1       0       0       0       0       0       0       0       0       0
74        "Fire Blast"                         150      30      10      6       0       0       0      1      0      0        0          0          0             0              0             0           0               0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
76        "Plasma Storm"                       60       50      20      0       5       1500    0      1      0      0        0          110        0             0              0             0           0               0              0                2       2       2       1       1       2       1       1       2       2       2       2       2
77        "Infinity Arrow"                     0        50      10      0       0       0       0      *      0      6        0          220        0             0              0             0           0               0              0                0       0       2       0       0       0       0       0       0       0       0       0       0
78        "Fire Scream"                        130      45      10      4       6       0       6      1      0      0        0          102        0             0              0             150         70              0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
79        "Fire Scream Explosion"              0        0       0       0       0       0       0      1      6      0        0          0          0             0              0             0           0               0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
200       "Monster Summon"                     0        40      0       0       0       0       0      *      6      0        0          0          0             0              0             20          0               0              0                0       0       0       0       0       0       0       0       0       0       0       0       0
201       "Magic Damage Immunity"              0        40      0       0       0       0       0      *      6      0        0          0          0             0              0             20          0               0              0                0       0       0       0       0       0       0       0       0       0       0       0       0
202       "Physi Damage Immunity"              0        40      0       0       0       0       0      *      6      0        0          0          0             0              0             20          0               0              0                0       0       0       0       0       0       0       0       0       0       0       0       0
210       "Order of Protection"                0        30      0       0       0       60000   0      *      5      0        0          0          0             0              0             0           0               0              0                1       1       1       1       1       1       1       1       1       1       0       1       1
211       "Order of Restraint"                 0        30      0       3       0       60000   0      *      5      0        0          0          0             0              0             0           0               0              0                1       1       1       1       1       1       1       1       1       1       0       1       1
212       "Order of Tracking"                  0        30      0       0       0       120000  0      *      5      0        0          0          0             0              0             0           0               0              0                1       1       1       1       1       1       1       1       1       1       0       1       1
213       "Order of Weaken"                    0        30      0       3       0       60000   0      *      5      0        0          0          0             0              0             0           0               0              0                1       1       1       1       1       1       1       1       1       1       0       1       1
214       "Drain Life"                         35       50      0       6       0       0       6      1      0      0        0          35         0             0              0             150         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
215       "Chain Lightning"                    70       85      0       6       3       0       6      1      0      0        0          75         0             0              0             245         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
217       "Damage Reflect"                     0        40      10      6       0       5000    0      *      0      71       0          80         0             0              0             375         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
218       "Berserker"                          0        100     50      0       0       5000    0      *      0      81       0          83         0             0              0             300         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
219       "Sleep"                              0        20      3       6       0       0       0      *      0      72       0          40         0             0              0             180         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
221       "Lesser Damage"                      0        50      15      0       5       30000   0      *      0      76       0          93         0             0              0             663         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
222       "Lesser Defense"                     0        50      15      0       5       30000   0      *      0      77       0          111        0             0              0             663         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
223       "Sahamutt"                           40       35      0       6       3       500     6      1      0      75       0          50         0             0              0             300         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
224       "Neil"                               65       60      4       6       4       800     6      1      0      74       0          75         0             0              0             416         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
225       "Ghost Phantom"                      80       70      8       6       5       500     6      1      0      56       0          85         0             0              0             542         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
230       "Lightning Shock"                    95       115     7       0       5       0       6      1      0      85       0          93         0             0              0             823         0               0              0                0       0       0       0       0       1       0       0       0       0       0       0       0
232       "Strike of Destruction"              110      30      24      6       3       0       6      0      0      86       0          100        0             0              0             0           0               0              0                0       2       0       0       0       0       0       0       0       0       0       0       0
233       "Magic Circle"                       0        200     50      0       0       0       0      *      0      82       0          220        0             0              0             1058        0               0              0                2       0       0       0       0       0       0       0       2       0       0       2       2
234       "Shield Recover"                     0        40      10      6       0       0       0      *      0      0        0          100        0             0              0             168         0               0              0                0       0       2       0       0       0       0       0       0       0       0       0       0
235       "Multi Shot"                         40       10      7       0       6       0       6      0      0      0        0          100        0             0              0             0           0               0              0                0       0       2       0       0       0       0       0       0       0       0       0       0
236       "Flame Strike"                       140      20      25      0       5       0       6      0      0      83       0          100        0             0              0             0           0               0              0                0       0       0       1       0       0       0       0       0       0       0       0       0
237       "Gigantic Storm"                     110      120     10      0       6       0       6      1      0      84       0          220        0             0              0             1058        0               0              0                0       0       0       1       0       0       0       0       0       0       0       0       0
238       "Chaotic Diseier"                    190      50      15      0       6       0       6      1      0      0        0          100        0             0              0             84          0               0              0                0       0       0       0       1       0       0       0       0       0       0       0       0
239       "Self Explosion"                     140      20      25      0       3       0       6      1      6      0        0          100        0             0              0             0           0               0              0                0       0       0       1       0       0       0       0       0       0       0       0       0
//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Attr   Type   Flag   Effect   RelSkill   ReqLevel   ReqStrength   ReqDexterity   ReqVitality   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC      KM      LM
240       "Magic Shot"                         30       1       0       6       0       0       6      1      0      0        0          2          0             0              0             0           0               0              0                0       0       0       0       0       0       0       0       0       0       0       1       1
241       "Shinning Bird"                      130      5       0       6       6       0       6      1      0      0        0          30         0             0              0             70          0               0              0                0       0       0       0       0       0       0       0       0       0       0       1       0
242       "Dragon Violent"                     140      30      0       6       6       0       6      1      0      0        0          50         0             0              0             680         0               0              0                0       0       0       0       0       0       0       0       0       0       0       1       0
243       "Spear Storm"                        160      105     5       6       6       500     6      1      0      0        0          160        0             0              0             1160        0               0              0                0       0       0       0       0       0       0       0       0       0       0       3       0
244       "Reflect Shield"                     0        70      22      6       0       0       0      *      0      343      0          77         0             0              0             408         0               0              0                0       0       0       0       0       0       0       0       0       0       0       1       0
245       "Marvel Burst"                       125      5       0       6       3       0       6      1      0      0        0          25         0             0              0             104         0               0              0                0       0       0       0       0       0       0       0       0       0       0       0       1
246       "Unleash Marvel"                     135      50      0       6       6       10000   6      1      0      0        0          45         0             0              0             700         0               0              0                0       0       0       0       0       0       0       0       0       0       0       0       1
247       "Ultimate Force"                     10       92      4       7       3       0       6      1      0      0        0          160        0             0              0             1073        0               0              0                0       0       0       0       0       0       0       0       0       0       0       0       3
260       "Large Ring Blower"                  0        9       0       2       0       0       6      0      0      76       0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
261       "Upper Beast"                        0        9       0       2       0       0       6      0      0      58       0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
262       "Chain Driver"                       0        15      20      4       0       700     6      0      0      86       0          150        0             0              0             0           0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
263       "Dark Side"                          0        70      0       4       3       0       6      1      0      0        0          180        0             0              0             0           0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
264       "Dragon Lore"                        0        50      30      3       5       700     6      1      0      0        0          150        0             0              0             0           0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
265       "Dragon Slayer"                      0        100     100     4       0       3000    6      0      0      0        0          200        0             0              0             0           0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
266       "Greater Ignore Damage Rate"         0        50      10      0       0       0       0      *      0      129      0          120        0             0              0             404         0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
267       "Fitness"                            0        50      10      0       5       0       0      *      0      130      0          80         0             0              0             132         0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
268       "Greater Defense Success Rate"       0        50      10      0       5       0       0      *      0      131      0          50         0             0              0             80          0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
269       "Charge"                             90       20      15      4       0       0       0      0      0      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
270       "Phoenix Shot"                       0        30      0       4       3       1200    6      0      0      132      0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       1       0       0       0       0       0       0
271       "Spin Step"                          100      12      0       2       2       500     6      0      0      0        0          83         0             150            0             0           0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
272       "Circle Shield"                      0        100     50      0       0       0       0      *      0      216      0          220        0             0              0             0           0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
273       "Obsidian"                           0        50      50      0       5       0       0      *      0      217      0          74         0             0              0             200         0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
274       "Magic Pin"                          80       30      20      2       0       500     6      0      0      0        0          30         300           300            0             0           0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
275       "Clash"                              50       50      50      6       0       10000   0      0      0      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
276       "Harsh Strike"                       100      12      0       3       0       500     6      0      0      0        0          74         150           0              0             0           0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
277       "Shining Peak"                       70       50      20      0       4       0       6      0      0      0        0          92         0             0              0             200         0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
278       "Wrath"                              0        100     50      0       0       60000   0      *      0      218      0          66         200           200            0             0           0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
279       "Breche"                             400      40      20      0       3       500     6      0      0      83       0          300        0             0              0             0           0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
280       "Spin Step Explosion"                50       0       0       0       0       0       0      0      6      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
281       "Magic Pin Explosion"                0        0       0       0       0       0       0      0      6      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       1       0       0       0       0       0
282       "Spirit Hook"                        255      27      21      3       2       0       6      0      0      0        0          180        0             0              1480          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
283       "Magic Arrow"                        45       15      5       0       8       0       6      1      0      0        0          50         0             0              0             142         0               0              0                0       0       0       0       0       0       0       0       1       0       0       0       0
